source_kind,source_path,url,ok,status,final_url,title,link_count,webapp_link_count,firebase_link_count,contains_webapp_text,contains_firebase_text,notes
marketing,marketing/public/academy/apply/index.html,https://socioprophet.com/academy/apply/,True,200,https://socioprophet.com/academy/apply/,Apply — Academy,10,0,0,False,False,
marketing,marketing/public/academy/index.html,https://socioprophet.com/academy/,True,200,https://socioprophet.com/academy/,Academy — SocioProphet,23,0,0,False,False,
marketing,marketing/public/auth/connections/index.html,https://socioprophet.com/auth/connections/,True,200,https://socioprophet.com/auth/connections/,SocioProphet — Provider Connections,9,0,0,False,False,
marketing,marketing/public/auth/index.html,https://socioprophet.com/auth/,True,200,https://socioprophet.com/auth/,SocioProphet — Auth & Connections,14,0,0,False,False,
marketing,marketing/public/auth/recovery/index.html,https://socioprophet.com/auth/recovery/,True,200,https://socioprophet.com/auth/recovery/,SocioProphet — Connection Recovery,5,0,0,False,False,
marketing,marketing/public/auth/sign-in/index.html,https://socioprophet.com/auth/sign-in/,True,200,https://socioprophet.com/auth/sign-in/,SocioProphet — Platform Sign In,5,0,0,False,False,
marketing,marketing/public/digital/index.html,https://socioprophet.com/digital/,True,200,https://socioprophet.com/digital/,.digital · SocioProphet,12,0,0,False,False,
docs-guide,docs/guide/academy-guardian-rights-sensitive-reports-and-escalation.md,https://socioprophet.com/documentation/academy-guardian-rights-sensitive-reports-and-escalation/,True,200,https://socioprophet.com/documentation/academy-guardian-rights-sensitive-reports-and-escalation/,"Academy Guardian Rights, Sensitive Reports, and Escalation | SocioProphet",57,0,0,False,False,
docs-guide,docs/guide/academy-interaction-contract.md,https://socioprophet.com/documentation/academy-interaction-contract/,True,200,https://socioprophet.com/documentation/academy-interaction-contract/,Academy Interaction Contract | SocioProphet,60,0,0,False,False,
docs-guide,docs/guide/academy-policy-index.md,https://socioprophet.com/documentation/academy-policy-index/,True,200,https://socioprophet.com/documentation/academy-policy-index/,Academy Policy Index | SocioProphet,59,0,0,False,False,
docs-guide,docs/guide/academy-safeguarding-and-minor-protection.md,https://socioprophet.com/documentation/academy-safeguarding-and-minor-protection/,True,200,https://socioprophet.com/documentation/academy-safeguarding-and-minor-protection/,Academy Safeguarding and Minor Protection | SocioProphet,59,0,0,False,False,
docs-guide,docs/guide/agent-corps-and-operational-roles.md,https://socioprophet.com/documentation/agent-corps-and-operational-roles/,True,200,https://socioprophet.com/documentation/agent-corps-and-operational-roles/,Agent Corps and Operational Roles | SocioProphet,59,0,0,False,False,
docs-guide,docs/guide/agent-plane-and-operator-workflows.md,https://socioprophet.com/documentation/agent-plane-and-operator-workflows/,True,200,https://socioprophet.com/documentation/agent-plane-and-operator-workflows/,Agent Plane and Operator Workflows | SocioProphet,73,0,0,False,False,
docs-guide,docs/guide/architecture.md,https://socioprophet.com/documentation/architecture/,True,200,https://socioprophet.com/documentation/architecture/,Architecture | SocioProphet,120,0,0,False,False,
docs-guide,docs/guide/auth-and-connections.md,https://socioprophet.com/documentation/auth-and-connections/,True,200,https://socioprophet.com/documentation/auth-and-connections/,Auth and Connections | SocioProphet,53,0,0,False,False,
docs-guide,docs/guide/auth-recovery-and-connection-health.md,https://socioprophet.com/documentation/auth-recovery-and-connection-health/,True,200,https://socioprophet.com/documentation/auth-recovery-and-connection-health/,Auth Recovery and Connection Health | SocioProphet,54,0,0,False,False,
docs-guide,docs/guide/authorized-cyberdefense-and-simulation.md,https://socioprophet.com/documentation/authorized-cyberdefense-and-simulation/,True,200,https://socioprophet.com/documentation/authorized-cyberdefense-and-simulation/,Authorized Cyberdefense and Simulation | SocioProphet,65,0,0,False,False,
docs-guide,docs/guide/boundary-centric-cyber-hypergraph.md,https://socioprophet.com/documentation/boundary-centric-cyber-hypergraph/,True,200,https://socioprophet.com/documentation/boundary-centric-cyber-hypergraph/,Boundary-Centric Cyber Hypergraph | SocioProphet,73,0,0,False,False,
docs-guide,docs/guide/canonical-platform-direction.md,https://socioprophet.com/documentation/canonical-platform-direction/,True,200,https://socioprophet.com/documentation/canonical-platform-direction/,Canonical Platform Direction | SocioProphet,66,0,0,False,False,
docs-guide,docs/guide/deterministic-ai-and-mathematical-safety.md,https://socioprophet.com/documentation/deterministic-ai-and-mathematical-safety/,True,200,https://socioprophet.com/documentation/deterministic-ai-and-mathematical-safety/,Deterministic AI and Mathematical Safety | SocioProphet,68,0,0,False,False,
docs-guide,docs/guide/digital-trust-and-capability-routing.md,https://socioprophet.com/documentation/digital-trust-and-capability-routing/,True,200,https://socioprophet.com/documentation/digital-trust-and-capability-routing/,Digital Trust and Capability Routing | SocioProphet,57,0,0,False,False,
docs-guide,docs/guide/domain-surface.md,https://socioprophet.com/documentation/domain-surface/,True,200,https://socioprophet.com/documentation/domain-surface/,Digital / Trust Surface | SocioProphet,52,0,0,False,False,
